Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,triangular_face_1,-8.129,-0.676,3.396,-8.278,-1.136,3.374,-7.201,-3.25,3.527
2,triangular_face_2,-8.278,-1.136,3.374,-8.507,-1.578,3.338,-7.201,-3.25,3.527
3,triangular_face_3,-7.201,-3.25,3.527,-8.507,-1.578,3.338,-8.821,-1.989,3.288
4,triangular_face_4,-7.201,-3.25,3.527,-8.821,-1.989,3.288,-9.223,-2.355,3.221
5,triangular_face_5,-7.201,-3.25,3.527,-9.223,-2.355,3.221,-9.825,-3.25,3.115
6,triangular_face_6,-9.223,-2.355,3.221,-9.72,-2.658,3.134,-9.825,-3.25,3.115
7,triangular_face_7,-9.72,-2.658,3.134,-10.301,-2.866,3.027,-9.825,-3.25,3.115
8,triangular_face_8,-9.825,-3.25,3.115,-10.301,-2.866,3.027,-10.93,-2.949,2.903
9,triangular_face_9,-9.825,-3.25,3.115,-10.93,-2.949,2.903,-12.427,-3.25,2.578
10,triangular_face_10,-10.93,-2.949,2.903,-11.561,-2.896,2.771,-12.427,-3.25,2.578
11,triangular_face_11,-11.561,-2.896,2.771,-12.151,-2.716,2.641,-12.427,-3.25,2.578
12,triangular_face_12,-12.151,-2.716,2.641,-12.663,-2.437,2.522,-12.427,-3.25,2.578
13,triangular_face_13,-12.663,-2.437,2.522,-13.088,-2.083,2.42,-12.427,-3.25,2.578
14,triangular_face_14,-13.088,-2.083,2.42,-15.0,-3.25,1.915,-12.427,-3.25,2.578
15,triangular_face_15,-13.088,-2.083,2.42,-13.426,-1.678,2.336,-15.0,-3.25,1.915
16,triangular_face_16,-13.671,-1.253,2.274,-15.0,-3.25,1.915,-13.426,-1.678,2.336
17,triangular_face_17,-13.671,-1.253,2.274,-15.0,0.0,1.915,-15.0,-3.25,1.915
18,triangular_face_18,-13.881,-0.636,2.22,-15.0,0.0,1.915,-13.671,-1.253,2.274
19,triangular_face_19,-13.95,0.0,2.201,-14.301,0.0,2.108,-13.881,-0.636,2.22
20,triangular_face_20,-14.301,0.0,2.108,-14.651,0.0,2.013,-13.881,-0.636,2.22
21,triangular_face_21,-13.881,-0.636,2.22,-14.651,0.0,2.013,-15.0,0.0,1.915
22,triangular_face_22,-14.301,0.0,2.108,-13.95,0.0,2.201,-13.938,0.269,2.204
23,triangular_face_23,-14.301,0.0,2.108,-13.938,0.269,2.204,-13.901,0.535,2.212
24,triangular_face_24,-14.651,0.0,2.013,-14.301,0.0,2.108,-13.901,0.535,2.212
25,triangular_face_25,-14.651,0.0,2.013,-13.901,0.535,2.212,-15.0,1.084,1.904
26,triangular_face_26,-15.0,0.0,1.915,-14.651,0.0,2.013,-15.0,1.084,1.904
27,triangular_face_27,-15.0,1.084,1.904,-13.901,0.535,2.212,-13.757,1.049,2.241
28,triangular_face_28,-15.0,1.084,1.904,-13.757,1.049,2.241,-15.0,2.167,1.871
29,triangular_face_29,-15.0,2.167,1.871,-13.757,1.049,2.241,-13.524,1.526,2.289
30,triangular_face_30,-15.0,2.167,1.871,-13.524,1.526,2.289,-13.212,1.952,2.354
31,triangular_face_31,-15.0,2.167,1.871,-13.212,1.952,2.354,-15.0,3.25,1.815
32,triangular_face_32,-13.212,1.952,2.354,-12.831,2.313,2.432,-15.0,3.25,1.815
33,triangular_face_33,-15.0,3.25,1.815,-12.831,2.313,2.432,-12.427,3.25,2.479
34,triangular_face_34,-12.831,2.313,2.432,-12.395,2.599,2.522,-12.427,3.25,2.479
35,triangular_face_35,-12.395,2.599,2.522,-11.918,2.804,2.62,-12.427,3.25,2.479
36,triangular_face_36,-11.918,2.804,2.62,-11.414,2.921,2.723,-12.427,3.25,2.479
37,triangular_face_37,-11.414,2.921,2.723,-10.899,2.948,2.829,-12.427,3.25,2.479
38,triangular_face_38,-10.899,2.948,2.829,-9.825,3.25,3.018,-12.427,3.25,2.479
39,triangular_face_39,-10.386,2.885,2.933,-9.825,3.25,3.018,-10.899,2.948,2.829
40,triangular_face_40,-10.386,2.885,2.933,-9.891,2.733,3.034,-9.825,3.25,3.018
41,triangular_face_41,-9.891,2.733,3.034,-9.428,2.496,3.128,-9.825,3.25,3.018
42,triangular_face_42,-9.428,2.496,3.128,-7.201,3.25,3.43,-9.825,3.25,3.018
43,triangular_face_43,-9.012,2.179,3.213,-7.201,3.25,3.43,-9.428,2.496,3.128
44,triangular_face_44,-9.012,2.179,3.213,-8.656,1.791,3.285,-7.201,3.25,3.43
45,triangular_face_45,-8.656,1.791,3.285,-8.388,1.371,3.339,-7.201,3.25,3.43
46,triangular_face_46,-8.388,1.371,3.339,-8.136,0.707,3.39,-7.201,3.25,3.43
