Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,12.651,0.407,0.0,12.7,0.0,0.0,NA,NA,NA
2,Line,12.505,0.79,0.0,12.651,0.407,0.0,NA,NA,NA
3,Line,12.272,1.127,0.0,12.505,0.79,0.0,NA,NA,NA
4,Line,11.966,1.399,0.0,12.272,1.127,0.0,NA,NA,NA
5,Line,11.603,1.59,0.0,11.966,1.399,0.0,NA,NA,NA
6,Line,11.205,1.688,0.0,11.603,1.59,0.0,NA,NA,NA
7,Line,10.795,1.688,0.0,11.205,1.688,0.0,NA,NA,NA
8,Line,10.397,1.59,0.0,10.795,1.688,0.0,NA,NA,NA
9,Line,10.034,1.399,0.0,10.397,1.59,0.0,NA,NA,NA
10,Line,9.728,1.127,0.0,10.034,1.399,0.0,NA,NA,NA
11,Line,9.495,0.79,0.0,9.728,1.127,0.0,NA,NA,NA
12,Line,9.349,0.407,0.0,9.495,0.79,0.0,NA,NA,NA
13,Line,9.3,0.0,0.0,9.349,0.407,0.0,NA,NA,NA
14,Line,9.3,0.0,0.0,9.349,-0.407,0.0,NA,NA,NA
15,Line,9.349,-0.407,0.0,9.495,-0.79,0.0,NA,NA,NA
16,Line,9.495,-0.79,0.0,9.728,-1.127,0.0,NA,NA,NA
17,Line,9.728,-1.127,0.0,10.034,-1.399,0.0,NA,NA,NA
18,Line,10.034,-1.399,0.0,10.397,-1.59,0.0,NA,NA,NA
19,Line,10.397,-1.59,0.0,10.795,-1.688,0.0,NA,NA,NA
20,Line,10.795,-1.688,0.0,11.205,-1.688,0.0,NA,NA,NA
21,Line,11.205,-1.688,0.0,11.603,-1.59,0.0,NA,NA,NA
22,Line,11.603,-1.59,0.0,11.966,-1.399,0.0,NA,NA,NA
23,Line,11.966,-1.399,0.0,12.272,-1.127,0.0,NA,NA,NA
24,Line,12.272,-1.127,0.0,12.505,-0.79,0.0,NA,NA,NA
25,Line,12.505,-0.79,0.0,12.651,-0.407,0.0,NA,NA,NA
26,Line,12.651,-0.407,0.0,12.7,0.0,0.0,NA,NA,NA
27,Line,-12.7,0.0,0.0,-12.651,-0.407,0.0,NA,NA,NA
28,Line,-12.651,-0.407,0.0,-12.505,-0.79,0.0,NA,NA,NA
29,Line,-12.505,-0.79,0.0,-12.272,-1.127,0.0,NA,NA,NA
30,Line,-12.272,-1.127,0.0,-11.966,-1.399,0.0,NA,NA,NA
31,Line,-11.966,-1.399,0.0,-11.603,-1.59,0.0,NA,NA,NA
32,Line,-11.603,-1.59,0.0,-11.205,-1.688,0.0,NA,NA,NA
33,Line,-11.205,-1.688,0.0,-10.795,-1.688,0.0,NA,NA,NA
34,Line,-10.795,-1.688,0.0,-10.397,-1.59,0.0,NA,NA,NA
35,Line,-10.397,-1.59,0.0,-10.034,-1.399,0.0,NA,NA,NA
36,Line,-10.034,-1.399,0.0,-9.728,-1.127,0.0,NA,NA,NA
37,Line,-9.728,-1.127,0.0,-9.495,-0.79,0.0,NA,NA,NA
38,Line,-9.495,-0.79,0.0,-9.349,-0.407,0.0,NA,NA,NA
39,Line,-9.349,-0.407,0.0,-9.3,0.0,0.0,NA,NA,NA
40,Line,-9.349,0.407,0.0,-9.3,0.0,0.0,NA,NA,NA
41,Line,-9.495,0.79,0.0,-9.349,0.407,0.0,NA,NA,NA
42,Line,-9.728,1.127,0.0,-9.495,0.79,0.0,NA,NA,NA
43,Line,-10.034,1.399,0.0,-9.728,1.127,0.0,NA,NA,NA
44,Line,-10.397,1.59,0.0,-10.034,1.399,0.0,NA,NA,NA
45,Line,-10.795,1.688,0.0,-10.397,1.59,0.0,NA,NA,NA
46,Line,-11.205,1.688,0.0,-10.795,1.688,0.0,NA,NA,NA
47,Line,-11.603,1.59,0.0,-11.205,1.688,0.0,NA,NA,NA
48,Line,-11.966,1.399,0.0,-11.603,1.59,0.0,NA,NA,NA
49,Line,-12.272,1.127,0.0,-11.966,1.399,0.0,NA,NA,NA
50,Line,-12.505,0.79,0.0,-12.272,1.127,0.0,NA,NA,NA
51,Line,-12.651,0.407,0.0,-12.505,0.79,0.0,NA,NA,NA
52,Line,-12.7,0.0,0.0,-12.651,0.407,0.0,NA,NA,NA
