Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,13.671,-1.252,2.274,13.818,-0.872,2.236,NA,NA,NA
2,Line,13.468,-1.617,2.326,13.671,-1.252,2.274,NA,NA,NA
3,Line,13.206,-1.959,2.391,13.468,-1.617,2.326,NA,NA,NA
4,Line,12.885,-2.27,2.469,13.206,-1.959,2.391,NA,NA,NA
5,Line,12.498,-2.541,2.561,12.885,-2.27,2.469,NA,NA,NA
6,Line,12.045,-2.759,2.665,12.498,-2.541,2.561,NA,NA,NA
7,Line,11.544,-2.899,2.775,12.045,-2.759,2.665,NA,NA,NA
8,Line,11.015,-2.95,2.886,11.544,-2.899,2.775,NA,NA,NA
9,Line,10.482,-2.904,2.992,11.015,-2.95,2.886,NA,NA,NA
10,Line,9.972,-2.765,3.088,10.482,-2.904,2.992,NA,NA,NA
11,Line,9.514,-2.549,3.171,9.972,-2.765,3.088,NA,NA,NA
12,Line,9.118,-2.272,3.239,9.514,-2.549,3.171,NA,NA,NA
13,Line,8.786,-1.949,3.294,9.118,-2.272,3.239,NA,NA,NA
14,Line,8.518,-1.595,3.336,8.786,-1.949,3.294,NA,NA,NA
15,Line,8.289,-1.163,3.372,8.518,-1.595,3.336,NA,NA,NA
16,Line,8.138,-0.714,3.395,8.289,-1.163,3.372,NA,NA,NA
17,Line,8.05,0.0,3.408,8.138,-0.714,3.395,NA,NA,NA
18,Line,8.05,0.0,3.408,8.063,0.277,3.405,NA,NA,NA
19,Line,8.063,0.277,3.405,8.102,0.551,3.397,NA,NA,NA
20,Line,8.102,0.551,3.397,8.248,1.064,3.368,NA,NA,NA
21,Line,8.248,1.064,3.368,8.484,1.54,3.32,NA,NA,NA
22,Line,8.484,1.54,3.32,8.799,1.964,3.256,NA,NA,NA
23,Line,8.799,1.964,3.256,9.181,2.323,3.178,NA,NA,NA
24,Line,9.181,2.323,3.178,9.619,2.607,3.09,NA,NA,NA
25,Line,9.619,2.607,3.09,10.097,2.808,2.992,NA,NA,NA
26,Line,10.097,2.808,2.992,10.601,2.923,2.889,NA,NA,NA
27,Line,10.601,2.923,2.889,11.117,2.948,2.784,NA,NA,NA
28,Line,11.117,2.948,2.784,11.629,2.882,2.679,NA,NA,NA
29,Line,11.629,2.882,2.679,12.123,2.728,2.578,NA,NA,NA
30,Line,12.123,2.728,2.578,12.584,2.488,2.483,NA,NA,NA
31,Line,12.584,2.488,2.483,12.999,2.17,2.398,NA,NA,NA
32,Line,12.999,2.17,2.398,13.352,1.78,2.325,NA,NA,NA
33,Line,13.352,1.78,2.325,13.613,1.37,2.271,NA,NA,NA
34,Line,13.613,1.37,2.271,13.864,0.707,2.219,NA,NA,NA
35,Line,13.864,0.707,2.219,13.95,0.0,2.201,NA,NA,NA
36,Line,13.94,-0.242,2.204,13.95,0.0,2.201,NA,NA,NA
37,Line,13.91,-0.482,2.212,13.94,-0.242,2.204,NA,NA,NA
38,Line,13.818,-0.872,2.236,13.91,-0.482,2.212,NA,NA,NA
