Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,35.65,22.5,10.0,37.325,25.401,10.0,NA,NA,NA
2,Line,37.325,25.401,10.0,40.675,25.401,10.0,NA,NA,NA
3,Line,40.675,25.401,10.0,42.35,22.5,10.0,NA,NA,NA
4,Line,40.675,19.599,10.0,42.35,22.5,10.0,NA,NA,NA
5,Line,37.325,19.599,10.0,40.675,19.599,10.0,NA,NA,NA
6,Line,35.65,22.5,10.0,37.325,19.599,10.0,NA,NA,NA
7,Line,35.65,-22.5,10.0,37.325,-19.599,10.0,NA,NA,NA
8,Line,37.325,-19.599,10.0,40.675,-19.599,10.0,NA,NA,NA
9,Line,40.675,-19.599,10.0,42.35,-22.5,10.0,NA,NA,NA
10,Line,40.675,-25.401,10.0,42.35,-22.5,10.0,NA,NA,NA
11,Line,37.325,-25.401,10.0,40.675,-25.401,10.0,NA,NA,NA
12,Line,35.65,-22.5,10.0,37.325,-25.401,10.0,NA,NA,NA
13,Line,-42.35,-22.5,10.0,-40.675,-25.401,10.0,NA,NA,NA
14,Line,-40.675,-25.401,10.0,-37.325,-25.401,10.0,NA,NA,NA
15,Line,-37.325,-25.401,10.0,-35.65,-22.5,10.0,NA,NA,NA
16,Line,-37.325,-19.599,10.0,-35.65,-22.5,10.0,NA,NA,NA
17,Line,-40.675,-19.599,10.0,-37.325,-19.599,10.0,NA,NA,NA
18,Line,-42.35,-22.5,10.0,-40.675,-19.599,10.0,NA,NA,NA
19,Line,-42.35,22.5,10.0,-40.675,19.599,10.0,NA,NA,NA
20,Line,-40.675,19.599,10.0,-37.325,19.599,10.0,NA,NA,NA
21,Line,-37.325,19.599,10.0,-35.65,22.5,10.0,NA,NA,NA
22,Line,-42.35,22.5,10.0,-40.675,25.401,10.0,NA,NA,NA
23,Line,-40.675,25.401,10.0,-37.325,25.401,10.0,NA,NA,NA
24,Line,-37.325,25.401,10.0,-35.65,22.5,10.0,NA,NA,NA
