Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-51.0,-15.3,96.5,-51.0,-7.416,96.5,NA,NA,NA
2,Line,-51.0,-7.416,96.5,-51.0,7.416,96.5,NA,NA,NA
3,Line,-51.0,7.416,96.5,-51.0,15.3,96.5,NA,NA,NA
4,Line,-51.0,15.3,96.5,-51.0,15.3,103.5,NA,NA,NA
5,Line,-51.0,7.416,103.5,-51.0,15.3,103.5,NA,NA,NA
6,Line,-51.0,-7.416,103.5,-51.0,7.416,103.5,NA,NA,NA
7,Line,-51.0,-15.3,103.5,-51.0,-7.416,103.5,NA,NA,NA
8,Line,-51.0,-15.3,96.5,-51.0,-15.3,103.5,NA,NA,NA
9,3_point_circle_1,-51.0,-12.7,100.0,-51.0,-10.15,101.472,-51.0,-10.15,98.528
10,3_point_circle_2,-51.0,9.3,100.0,-51.0,11.85,101.472,-51.0,11.85,98.528
