Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,21.15,-15.15,0.0,21.15,15.15,0.0,NA,NA,NA
2,Line,21.15,15.15,0.0,16.15,20.15,0.0,NA,NA,NA
3,Line,16.15,20.15,0.0,-16.15,20.15,0.0,NA,NA,NA
4,Line,-21.15,15.15,0.0,-16.15,20.15,0.0,NA,NA,NA
5,Line,-21.15,15.15,0.0,-21.15,-15.15,0.0,NA,NA,NA
6,Line,-21.15,-15.15,0.0,-16.15,-20.15,0.0,NA,NA,NA
7,Line,-16.15,-20.15,0.0,16.15,-20.15,0.0,NA,NA,NA
8,Line,16.15,-20.15,0.0,21.15,-15.15,0.0,NA,NA,NA
9,3_point_circle_1,-13.8,-15.5,0.0,-16.35,-14.028,0.0,-16.35,-16.972,0.0
10,3_point_circle_2,-13.8,15.5,0.0,-16.35,16.972,0.0,-16.35,14.028,0.0
11,3_point_circle_3,17.2,15.5,0.0,14.65,16.972,0.0,14.65,14.028,0.0
12,3_point_circle_4,17.2,-15.5,0.0,14.65,-14.028,0.0,14.65,-16.972,0.0
13,3_point_circle_5,12.0,0.0,0.0,-6.0,10.392,0.0,-6.0,-10.392,0.0
