Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_circle_1,6.751,0.001,13.0,-3.374,5.847,13.0,-3.374,-5.845,13.0
2,3_point_circle_2,2.5,0.0,13.0,-1.25,2.165,13.0,-1.25,-2.165,13.0
3,Line,-1.682,5.499,13.0,0.27,5.745,13.0,NA,NA,NA
4,Line,-1.975,6.455,13.0,-1.682,5.499,13.0,NA,NA,NA
5,Line,0.317,6.744,13.0,0.27,5.745,13.0,NA,NA,NA
6,Line,0.317,6.744,13.0,0.397,8.449,13.0,NA,NA,NA
7,Line,0.395,8.507,13.0,0.397,8.449,13.0,NA,NA,NA
8,Line,0.392,8.542,13.0,0.395,8.507,13.0,NA,NA,NA
9,Line,0.388,8.585,13.0,0.392,8.542,13.0,NA,NA,NA
10,Line,0.382,8.628,13.0,0.388,8.585,13.0,NA,NA,NA
11,Line,0.374,8.671,13.0,0.382,8.628,13.0,NA,NA,NA
12,Line,0.363,8.727,13.0,0.374,8.671,13.0,NA,NA,NA
13,Line,0.348,8.791,13.0,0.363,8.727,13.0,NA,NA,NA
14,Line,0.326,8.875,13.0,0.348,8.791,13.0,NA,NA,NA
15,Line,0.297,8.968,13.0,0.326,8.875,13.0,NA,NA,NA
16,Line,0.266,9.061,13.0,0.297,8.968,13.0,NA,NA,NA
17,Line,0.233,9.152,13.0,0.266,9.061,13.0,NA,NA,NA
18,Line,0.184,9.273,13.0,0.233,9.152,13.0,NA,NA,NA
19,Line,0.124,9.406,13.0,0.184,9.273,13.0,NA,NA,NA
20,Line,0.06,9.538,13.0,0.124,9.406,13.0,NA,NA,NA
21,Line,-0.009,9.667,13.0,0.06,9.538,13.0,NA,NA,NA
22,Line,-0.082,9.794,13.0,-0.009,9.667,13.0,NA,NA,NA
23,Line,-0.159,9.918,13.0,-0.082,9.794,13.0,NA,NA,NA
24,Line,-0.239,10.041,13.0,-0.159,9.918,13.0,NA,NA,NA
25,Line,-0.352,10.201,13.0,-0.239,10.041,13.0,NA,NA,NA
26,Line,-0.485,10.376,13.0,-0.352,10.201,13.0,NA,NA,NA
27,Line,-0.624,10.546,13.0,-0.485,10.376,13.0,NA,NA,NA
28,Line,-0.721,10.659,13.0,-0.624,10.546,13.0,NA,NA,NA
29,Line,-0.82,10.77,13.0,-0.721,10.659,13.0,NA,NA,NA
30,Line,-1.87,10.638,13.0,-0.82,10.77,13.0,NA,NA,NA
31,Line,-2.031,10.317,13.0,-1.87,10.638,13.0,NA,NA,NA
32,Line,-2.15,10.05,13.0,-2.031,10.317,13.0,NA,NA,NA
33,Line,-2.248,9.798,13.0,-2.15,10.05,13.0,NA,NA,NA
34,Line,-2.326,9.568,13.0,-2.248,9.798,13.0,NA,NA,NA
35,Line,-2.386,9.357,13.0,-2.326,9.568,13.0,NA,NA,NA
36,Line,-2.431,9.166,13.0,-2.386,9.357,13.0,NA,NA,NA
37,Line,-2.464,8.992,13.0,-2.431,9.166,13.0,NA,NA,NA
38,Line,-2.489,8.817,13.0,-2.464,8.992,13.0,NA,NA,NA
39,Line,-2.464,8.992,13.0,-2.431,9.166,13.0,NA,NA,NA
40,Line,-2.489,8.817,13.0,-2.464,8.992,13.0,NA,NA,NA
41,Line,-2.504,8.658,13.0,-2.489,8.817,13.0,NA,NA,NA
42,Line,-2.511,8.514,13.0,-2.504,8.658,13.0,NA,NA,NA
43,Line,-2.511,8.398,13.0,-2.511,8.514,13.0,NA,NA,NA
44,Line,-2.511,8.398,13.0,-2.508,8.311,13.0,NA,NA,NA
45,Line,-2.508,8.311,13.0,-2.501,8.238,13.0,NA,NA,NA
46,Line,-2.501,8.238,13.0,-2.492,8.174,13.0,NA,NA,NA
47,Line,-2.492,8.174,13.0,-2.484,8.131,13.0,NA,NA,NA
48,Line,-2.484,8.131,13.0,-2.475,8.088,13.0,NA,NA,NA
49,Line,-2.475,8.088,13.0,-1.975,6.455,13.0,NA,NA,NA
