Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-9.251,12.747,17.0,-8.502,13.258,15.168,NA,NA,NA
2,Line,-8.502,13.258,15.168,-7.725,13.725,13.336,NA,NA,NA
3,Line,-7.725,13.725,13.336,-6.247,14.458,10.002,NA,NA,NA
4,Line,-6.247,14.458,10.002,-4.7,15.032,6.668,NA,NA,NA
5,Line,-4.7,15.032,6.668,-3.102,15.441,3.334,NA,NA,NA
6,Line,-3.102,15.441,3.334,-1.47,15.681,0.0,NA,NA,NA
7,Line,-0.179,15.749,3.334,1.47,15.681,0.0,NA,NA,NA
8,Line,-1.826,15.644,6.668,-0.179,15.749,3.334,NA,NA,NA
9,Line,-3.452,15.367,10.003,-1.826,15.644,6.668,NA,NA,NA
10,Line,-5.041,14.922,13.337,-3.452,15.367,10.003,NA,NA,NA
11,Line,-5.891,14.607,15.168,-5.041,14.922,13.337,NA,NA,NA
12,Line,-6.721,14.243,17.0,-5.891,14.607,15.168,NA,NA,NA
13,Line,-10.617,16.713,17.0,-9.706,17.258,15.295,NA,NA,NA
14,Line,-9.706,17.258,15.295,-8.768,17.753,13.59,NA,NA,NA
15,Line,-8.768,17.753,13.59,-7.483,18.332,11.325,NA,NA,NA
16,Line,-7.483,18.332,11.325,-6.16,18.817,9.06,NA,NA,NA
17,Line,-6.16,18.817,9.06,-4.806,19.208,6.795,NA,NA,NA
18,Line,-4.806,19.208,6.795,-3.427,19.501,4.53,NA,NA,NA
19,Line,-3.427,19.501,4.53,-2.032,19.695,2.265,NA,NA,NA
20,Line,-2.032,19.695,2.265,-0.625,19.79,0.0,NA,NA,NA
21,Line,-0.784,19.784,2.265,0.625,19.79,0.0,NA,NA,NA
22,Line,-2.19,19.678,4.53,-0.784,19.784,2.265,NA,NA,NA
23,Line,-3.584,19.473,6.795,-2.19,19.678,4.53,NA,NA,NA
24,Line,-4.96,19.169,9.06,-3.584,19.473,6.795,NA,NA,NA
25,Line,-6.311,18.767,11.325,-4.96,19.169,9.06,NA,NA,NA
26,Line,-7.63,18.271,13.59,-6.311,18.767,11.325,NA,NA,NA
27,Line,-8.597,17.836,15.295,-7.63,18.271,13.59,NA,NA,NA
28,Line,-9.541,17.35,17.0,-8.597,17.836,15.295,NA,NA,NA
