Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,0.0,10.0,0.0,0.0,15.75,0.0,NA,NA,NA
2,Line,0.0,15.75,0.0,0.0,15.75,17.0,NA,NA,NA
3,Line,0.0,15.75,17.0,0.0,20.0,17.0,NA,NA,NA
4,Line,0.0,20.0,17.0,0.0,20.0,19.0,NA,NA,NA
5,Line,0.0,20.0,19.0,0.0,17.0,24.0,NA,NA,NA
6,Line,0.0,17.0,24.0,0.0,17.0,61.5,NA,NA,NA
7,Line,0.0,35.0,64.0,0.0,19.5,64.0,NA,NA,NA
8,Line,0.0,35.0,65.8,0.0,35.0,64.0,NA,NA,NA
9,Line,0.0,35.0,76.0,0.0,35.0,72.2,NA,NA,NA
10,Line,0.0,10.0,76.0,0.0,35.0,76.0,NA,NA,NA
11,Line,0.0,10.0,0.0,0.0,10.0,76.0,NA,NA,NA
12,3_point_arc_1,0.0,17.0,61.5,0.0,19.5,61.5,0.0,19.5,64.0
13,3_point_arc_2,0.0,35.0,65.8,0.0,35.0,69.0,0.0,35.0,72.2
