Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,20.153,23.503,4.5,23.054,21.828,4.5,NA,NA,NA
2,Line,23.054,18.478,4.5,23.054,21.828,4.5,NA,NA,NA
3,Line,20.153,16.803,4.5,23.054,18.478,4.5,NA,NA,NA
4,Line,17.251,18.478,4.5,20.153,16.803,4.5,NA,NA,NA
5,Line,17.251,18.478,4.5,17.251,21.828,4.5,NA,NA,NA
6,Line,17.251,21.828,4.5,20.153,23.503,4.5,NA,NA,NA
7,Line,20.153,-16.803,4.5,23.054,-18.478,4.5,NA,NA,NA
8,Line,23.054,-21.828,4.5,23.054,-18.478,4.5,NA,NA,NA
9,Line,20.153,-23.503,4.5,23.054,-21.828,4.5,NA,NA,NA
10,Line,17.251,-18.478,4.5,20.153,-16.803,4.5,NA,NA,NA
11,Line,17.251,-21.828,4.5,17.251,-18.478,4.5,NA,NA,NA
12,Line,17.251,-21.828,4.5,20.153,-23.503,4.5,NA,NA,NA
13,Line,-20.153,-16.803,4.5,-17.251,-18.478,4.5,NA,NA,NA
14,Line,-17.251,-21.828,4.5,-17.251,-18.478,4.5,NA,NA,NA
15,Line,-20.153,-23.503,4.5,-17.251,-21.828,4.5,NA,NA,NA
16,Line,-23.054,-21.828,4.5,-20.153,-23.503,4.5,NA,NA,NA
17,Line,-23.054,-21.828,4.5,-23.054,-18.478,4.5,NA,NA,NA
18,Line,-23.054,-18.478,4.5,-20.153,-16.803,4.5,NA,NA,NA
19,Line,-20.153,23.503,4.5,-17.251,21.828,4.5,NA,NA,NA
20,Line,-17.251,18.478,4.5,-17.251,21.828,4.5,NA,NA,NA
21,Line,-20.153,16.803,4.5,-17.251,18.478,4.5,NA,NA,NA
22,Line,-23.054,18.478,4.5,-20.153,16.803,4.5,NA,NA,NA
23,Line,-23.054,18.478,4.5,-23.054,21.828,4.5,NA,NA,NA
24,Line,-23.054,21.828,4.5,-20.153,23.503,4.5,NA,NA,NA
